userid,year_n,n_review,mean_score,mean_len,mean_score_relative,helpful,category_n,id,gender
AQT2VWNZFGRL6,3,101,4.6138613861386135,105.3069306930693,0.297029702970297,0.834108527131783,5,AQT2VWNZFGRL6,male
A1QVRO7FNATJKX,3,216,4.143518518518518,42.81018518518518,-0.013888888888888888,0.5828877005347594,1,A1QVRO7FNATJKX,NA
A2XT93QTEMFMXM,2,110,3.418181818181818,22.754545454545454,-0.3181818181818182,0.4375,17,A2XT93QTEMFMXM,female
A2CPM6WTF7PO3G,6,150,3.9,185.94666666666666,0.006666666666666667,0.8636363636363636,14,A2CPM6WTF7PO3G,NA
A2SPI5WNZLOJ2U,14,449,4.008908685968819,300.8953229398664,-0.18262806236080179,0.8652200488997555,12,A2SPI5WNZLOJ2U,male
A3Q7ZL6TPRX2Y,12,408,3.343137254901961,141.27205882352942,-0.5269607843137255,0.709556057185854,11,A3Q7ZL6TPRX2Y,NA
ADZF3QDGSZE7K,8,134,4.074626865671642,74.84328358208955,-0.08208955223880597,0.8565400843881856,16,ADZF3QDGSZE7K,female
A244OF3K701OS1,2,424,3.650943396226415,53.410377358490564,-0.36556603773584906,0.5584415584415584,3,A244OF3K701OS1,female
A2N5YX7DLGPG3K,14,174,4.580459770114943,32.95977011494253,0.1206896551724138,0.5383290267011197,18,A2N5YX7DLGPG3K,male
AALD4DD9C2Z3V,4,106,4.7075471698113205,62.04716981132076,0.04716981132075472,0.9379310344827586,2,AALD4DD9C2Z3V,female
AYZLXLVMJGTJV,8,170,4.147058823529412,182.97058823529412,-0.0058823529411764705,0.7074569789674953,4,AYZLXLVMJGTJV,NA
A1FSJH67CYP9Y2,3,110,3.327272727272727,84.72727272727273,-0.7090909090909091,0.48321408915795266,4,A1FSJH67CYP9Y2,male
A3BH49ZKESHDID,17,1227,4.3447432762836184,154.69356153219235,-0.0057049714751426246,0.7902259996136759,13,A3BH49ZKESHDID,male
A2MAJK49M3CBIY,10,118,3.5762711864406778,133.94915254237287,-0.3389830508474576,0.5939086294416244,18,A2MAJK49M3CBIY,NA
A3C460LISLSXJ0,5,507,4.451676528599606,112.65285996055226,0.045364891518737675,0.8991097922848664,4,A3C460LISLSXJ0,male
AZ1I9U14U9LX4,2,152,4.921052631578948,65.64473684210526,0.09868421052631579,0.9595959595959596,1,AZ1I9U14U9LX4,female
A2OXGCHSGDEP6J,5,106,4.981132075471698,105.52830188679245,0.08490566037735849,0.9013333333333333,3,A2OXGCHSGDEP6J,NA
AZ2YLC0GWTAH2,10,707,3.7977369165487977,1102.2263083451203,-0.11173974540311174,0.8941798941798942,5,AZ2YLC0GWTAH2,NA
A3SUH4HE6Y4VLW,2,116,4.775862068965517,21.155172413793103,0.1810344827586207,0.625,15,A3SUH4HE6Y4VLW,male
A107QCQSFVT6VN,1,389,4.96401028277635,77.79948586118252,0.08997429305912596,0.935064935064935,5,A107QCQSFVT6VN,male
A280GY5UVUS2QH,14,529,4.487712665406427,414.3421550094518,0.1323251417769376,0.8543478260869565,4,A280GY5UVUS2QH,male
A2XHZ7VYREN2DT,10,175,4.2057142857142855,141.1942857142857,-0.07428571428571429,0.7552870090634441,19,A2XHZ7VYREN2DT,NA
A3FBGZ4E6KGIW2,6,217,3.552995391705069,83.92626728110599,-0.33640552995391704,0.6130952380952381,6,A3FBGZ4E6KGIW2,NA
A1PDWD4KCP1ABG,5,189,2.693121693121693,225.2010582010582,-0.7777777777777778,0.4828101644245142,1,A1PDWD4KCP1ABG,male
A3H3ZALLQP2W6B,3,117,4.0,39.18803418803419,-0.2564102564102564,0.631578947368421,5,A3H3ZALLQP2W6B,female
A22RE7V8QZFICW,11,164,2.951219512195122,112.14024390243902,-0.75,0.4658735128365686,12,A22RE7V8QZFICW,NA
A3EM32S9AYBZVA,8,111,4.351351351351352,40.44144144144144,-0.08108108108108109,0.7808219178082192,17,A3EM32S9AYBZVA,female
A3SVA5Q8RGSVXW,4,514,4.521400778210117,90.07782101167315,0.0311284046692607,0.908235294117647,9,A3SVA5Q8RGSVXW,NA
A3EJVZ5LCBP61X,11,200,3.985,150.19,-0.045,0.8160043549265106,14,A3EJVZ5LCBP61X,male
A2EESF6O3CAPXT,2,182,4.06043956043956,94.18681318681318,-0.07692307692307693,0.7391304347826086,2,A2EESF6O3CAPXT,female
A3QA7NAEQPMIEU,3,136,4.823529411764706,158.50735294117646,0.029411764705882353,0.8720538720538721,2,A3QA7NAEQPMIEU,female
A2151IYI3M471C,3,126,2.380952380952381,69.83333333333333,-0.8015873015873016,0.46601941747572817,6,A2151IYI3M471C,NA
A3H0OFLRBN01F,3,229,4.689956331877729,94.31004366812228,0.13537117903930132,0.8897149938042132,3,A3H0OFLRBN01F,NA
A3IPSTD7R03WQY,4,293,4.689419795221843,98.12286689419795,-0.013651877133105802,0.9481668773704172,2,A3IPSTD7R03WQY,NA
A1TY4TRLA4QK5Y,10,352,3.5511363636363638,213.22727272727272,-0.23863636363636365,0.7519915029208709,19,A1TY4TRLA4QK5Y,NA
A2R0J3BJIOV3AY,7,124,4.830645161290323,130.9516129032258,0.07258064516129033,0.9596774193548387,1,A2R0J3BJIOV3AY,female
A281T8MXBOSWY5,13,117,4.521367521367521,110.41880341880342,0.008547008547008548,0.9104294478527607,12,A281T8MXBOSWY5,male
A1PU88DC4HLRH,5,108,4.787037037037037,110.28703703703704,0.24074074074074073,0.7969543147208121,3,A1PU88DC4HLRH,NA
A1C7DTTCSMHPUQ,7,121,3.0991735537190084,63.99173553719008,-0.8347107438016529,0.22080838323353294,20,A1C7DTTCSMHPUQ,male
AVGYENZU56KBR,4,1034,3.2408123791102517,106.08607350096712,-0.6363636363636364,0.7779471544715447,4,AVGYENZU56KBR,NA
A2L3O7P3LQTB07,3,112,4.526785714285714,153.58928571428572,0.044642857142857144,0.9066666666666666,2,A2L3O7P3LQTB07,female
A2G66MWPD3QVR7,3,108,4.972222222222222,25.435185185185187,0.26851851851851855,0.5,12,A2G66MWPD3QVR7,female
A2KSRJFZ2R9JK3,2,129,4.961240310077519,125.47286821705427,0.3333333333333333,0.7333333333333333,4,A2KSRJFZ2R9JK3,NA
A2KWG1J285Z4QA,9,101,3.9702970297029703,280.1188118811881,-0.039603960396039604,0.8944305901911886,15,A2KWG1J285Z4QA,male
AOKGRSAS5VNS3,6,748,4.078877005347594,204.64839572192514,-0.09224598930481283,0.8615649183147034,10,AOKGRSAS5VNS3,female
A2FOXOCGCXCWW0,4,115,4.834782608695652,28.043478260869566,0.034782608695652174,0.7466666666666667,11,A2FOXOCGCXCWW0,male
A18Z54Y2Q5SJHL,3,144,4.229166666666667,69.74305555555556,-0.19444444444444445,0.778125,9,A18Z54Y2Q5SJHL,NA
A2F35SS0RKWSO2,6,317,4.1545741324921135,178.0788643533123,-0.06309148264984227,0.8328467153284671,14,A2F35SS0RKWSO2,male
A1UQBFCERIP7VJ,10,1760,4.556818181818182,145.025,0.061931818181818185,0.9057934508816121,22,A1UQBFCERIP7VJ,female
A3L2U581LL17EB,4,132,3.227272727272727,473.1666666666667,-0.5151515151515151,0.6245098039215686,1,A3L2U581LL17EB,male
A2DRVUMQB5S930,7,162,4.679012345679013,22.41358024691358,0.06172839506172839,0.7924528301886793,17,A2DRVUMQB5S930,male
A3VVT9FFZHXCGO,5,113,4.247787610619469,70.35398230088495,-0.09734513274336283,0.8552631578947368,14,A3VVT9FFZHXCGO,male
A3LWLU8DZMBYPY,9,108,4.2407407407407405,110.51851851851852,-0.08333333333333333,0.8484848484848485,12,A3LWLU8DZMBYPY,female
AHUT55E980RDR,11,4095,4.227594627594628,88.00439560439561,-0.03418803418803419,0.8119338873844429,20,AHUT55E980RDR,male
A2DT7XKLELB1MX,7,177,2.9604519774011298,141.6949152542373,-0.847457627118644,0.6953541507996953,11,A2DT7XKLELB1MX,male
A1MY1CZM8QHFGJ,8,124,3.967741935483871,60.86290322580645,-0.1935483870967742,0.7849829351535836,15,A1MY1CZM8QHFGJ,female
A29ND8RD38SEUZ,5,162,4.728395061728395,31.771604938271604,0.06172839506172839,0.3893129770992366,3,A29ND8RD38SEUZ,female
AA7BT35X9DZY,3,165,4.9393939393939394,48.406060606060606,0.10909090909090909,0.7380952380952381,1,AA7BT35X9DZY,NA
A31K2RCOQAWM3B,7,170,2.6941176470588237,74.05882352941177,-1.1235294117647059,0.5409090909090909,1,A31K2RCOQAWM3B,NA
A2BEHJMCLCXR10,6,109,4.009174311926605,44.81651376146789,-0.14678899082568808,0.7222222222222222,10,A2BEHJMCLCXR10,NA
AHM7B24UTA3CT,3,110,4.181818181818182,143.29090909090908,-0.2,0.6355748373101953,14,AHM7B24UTA3CT,NA
A3MRU7Z58ZCB0O,3,239,4.2761506276150625,43.46025104602511,0.0041841004184100415,0.9014084507042254,4,A3MRU7Z58ZCB0O,NA
A25TNBMJ4ZO7RD,9,247,3.659919028340081,148.79352226720647,-0.3076923076923077,0.8750957854406131,17,A25TNBMJ4ZO7RD,NA
A2JJUWED6Q57EV,4,157,4.509554140127388,98.39490445859873,-0.07006369426751592,0.6347826086956522,5,A2JJUWED6Q57EV,male
APKYBLUK40B6A,2,836,4.124401913875598,52.11483253588517,-0.04784688995215311,0.83,2,APKYBLUK40B6A,NA
A3A6ML6IDYFQLA,3,110,4.627272727272727,56.018181818181816,0.14545454545454545,0.75,15,A3A6ML6IDYFQLA,NA
A1NGYBTJ5Y15Y7,2,164,4.865853658536586,68.65243902439025,0.17682926829268292,0.8905109489051095,20,A1NGYBTJ5Y15Y7,NA
A240M3IVP8HR0L,8,120,3.2333333333333334,229.38333333333333,-0.6416666666666667,0.6064855390008764,14,A240M3IVP8HR0L,NA
AIWGJUBEK56TX,5,114,4.842105263157895,173.93859649122808,0.2719298245614035,0.7983651226158038,3,AIWGJUBEK56TX,NA
AL4D6OHMS2Z9P,7,443,4.444695259593679,180.37020316027088,-0.13318284424379231,0.7446808510638298,7,AL4D6OHMS2Z9P,NA
A101BX7DD7EUZ1,3,373,4.651474530831099,74.88739946380697,0.128686327077748,0.8064516129032258,11,A101BX7DD7EUZ1,NA
A1PTXXFDPXEHPZ,7,139,3.8129496402877696,71.7410071942446,-0.16546762589928057,0.9016203703703703,18,A1PTXXFDPXEHPZ,NA
A3GQ10VQCAQUI2,14,110,4.181818181818182,107.7090909090909,-0.1,0.9185667752442996,12,A3GQ10VQCAQUI2,NA
A966L65JSN8XN,8,157,4.585987261146497,70.6624203821656,0.06369426751592357,0.8834688346883469,13,A966L65JSN8XN,NA
A1M7HP5CHDXXOU,6,151,4.496688741721854,90.80132450331126,0.1390728476821192,0.7058823529411765,17,A1M7HP5CHDXXOU,male
A1YBT11XM8Y6Q,2,152,4.947368421052632,63.94078947368421,0.1118421052631579,0.7256637168141593,3,A1YBT11XM8Y6Q,female
A2Y4MUU6R9NDUR,4,258,3.949612403100775,291.0232558139535,-0.38372093023255816,0.7343824511206486,4,A2Y4MUU6R9NDUR,NA
A399D9P2ZK876W,7,134,4.649253731343284,23.865671641791046,-0.014925373134328358,0.5060240963855421,17,A399D9P2ZK876W,female
A3I6704DLTIILE,5,114,4.552631578947368,264.36842105263156,0.07017543859649122,0.9463931171409663,13,A3I6704DLTIILE,NA
AJRFZ0VZ0LD26,14,1131,4.015030946065429,170.01237842617152,-0.038903625110521665,0.7219041880084363,19,AJRFZ0VZ0LD26,NA
A2UB0XEUP1NU2L,5,209,4.086124401913875,128.3397129186603,-0.10526315789473684,0.9,6,A2UB0XEUP1NU2L,NA
A2SVBUFCBHAGNP,5,168,4.125,202.88690476190476,0.017857142857142856,0.967032967032967,1,A2SVBUFCBHAGNP,male
AXR186I5P3QZM,3,139,3.884892086330935,46.776978417266186,-0.2733812949640288,0.6975806451612904,6,AXR186I5P3QZM,male
A3EJT905S6ZS4K,12,195,4.794871794871795,405.83589743589744,0.14358974358974358,0.787840802256346,1,A3EJT905S6ZS4K,NA
A2IC7CET2QDQEN,2,123,4.796747967479675,36.292682926829265,0.0975609756097561,0.8,2,A2IC7CET2QDQEN,female
ANM42D7WGZY83,6,352,4.457386363636363,268.3806818181818,0.056818181818181816,0.8454332552693209,1,ANM42D7WGZY83,NA
A1KLTY3ATHGYC0,4,210,4.304761904761905,113.91428571428571,0.01904761904761905,0.6666666666666666,4,A1KLTY3ATHGYC0,female
A25XZWFLAJ3W4M,2,102,5.0,35.42156862745098,0.09803921568627451,0.8,2,A25XZWFLAJ3W4M,female
AF74VPDSL69FE,5,139,4.093525179856115,58.92805755395683,-0.2158273381294964,0.8,20,AF74VPDSL69FE,NA
A1H8I2PH00UQ2K,4,249,4.481927710843373,29.88755020080321,-0.01606425702811245,0.7105263157894737,21,A1H8I2PH00UQ2K,female
A2QLX4D1B9FERH,2,311,4.090032154340836,109.84565916398714,0.012861736334405145,0.8251121076233184,2,A2QLX4D1B9FERH,NA
